screen_name,text,sentiment
Dendelion060819,"@gojekindonesia Kalo aku selama pandemi ini sangat membatasi kegiatan di luar rumah (buat yang ngga terlalu mendesak). Aku ngandelin Gojek &amp; merchant rekan Gojek buat memenuhi kebutuhan harian.
Masih rajin cuci tangan &amp; ngga lupa selalu maskeran 😷👍👍👍
#ProteksiEkstra https://t.co/tgObWPi3a8",positif
David_Wijaya03,"Tanpa Gojek, sulit untuk memenuhi kebutuhan di era PPKM Darurat... @LuwitaEmilly46 @RD_4WR1212 @heniunique @yarachantique @SinthaS5
https://t.co/sT1XYdDMYC",positif
David_Wijaya03,"Salam hormat gue untuk Gojek... Memberikan inisiatif #SemangatNakes yang berjuang melawan pandemi... Wajar dapat apresiasi dari Menkes Budi Gunadi... @NgkongRoses @Nusantaraku01 @ahhbabysya @ahmad_bellamy @_leonSR_ @Bon9kar_Politik
https://t.co/6wz2PC2154",positif
David_Wijaya03,Tetap semangat untuk kawan-kawan Gojek dalam mencari rezeki.... @pengarang_sajak @Tonga_Nixon @LuwitaEmilly46 @RD_4WR1212 @_SEKNAS_RI https://t.co/Kvqe0H9uZV,positif
David_Wijaya03,"Masya Allah Tabarakallah... Salut dengan mitra Gocar Bandung seperti ini... Berhati mulia... @kurawa
https://t.co/XefNGfdrfu",positif
berdoyoung,makasih gojek 🧍🏻‍♀️ https://t.co/IsTBKrVLJs,positif
FebriPuspa98_,"Buka grap, gojek, shopeefood tidak ada menu yang menarik",negatif
ecimochi614,Diskonnya gak maen2 😭😭 makasih gojek kau menyelamatkan dompetku https://t.co/2HY3534qCI,positif
ggkyu,@intothreeam WKWKW makasih gojek telah menyemangati 🥴👍🏻,negatif
hipotensii,Mau pindah ke shopeefood aja. Di gojek  aplikasinya aja kena biaya🤣🤣 https://t.co/5LTtua86At,negatif
Beritasatu,Ekosistem Digital Gojek Semakin Luas dengan Ekspansi ke Singapura dan Vietnam https://t.co/r2MmfYgBWv https://t.co/ySmdtro00q,positif
blankoncoklat,"Insyaa Alloh inilah kerja &amp; karya NYATA. Jadi pelajaran bagi kita utk bisa berbuat yg sama. Terima kasih GOJEK 🙏🤝👍👍

Yth, bpk @BudiGSadikin 
@antaranews 
https://t.co/GqPP56dgqz",positif
BambangMoelyadi,"Bantu Keberlangsungan Bisnis UMKM GoFood Diapresiasi Menkop UKM Teten Masduki.

Salut sama Gojek dan Mitra-mitranya di lapangan. 
@gorengan_27 @inr_rey @Kamso_1 
https://t.co/esmAyRrhpw",positif
Agungkenzo,"@3Le4N012 Parah banget asli gak sesuai tulisan di menu bantuan.. 
Gue udh sampe swab lg di klinin yg berbayar buat dapetin suratnya biar bisa cpt2 lapor ke gojek trus akun aktif eh percuma ternyata 🤦‍♂️
Malah jadi hampir sebulan ga narik gojeknya klo gini! https://t.co/0BzJ42BSPS",negatif
aacaannn,@GrabID makasih gojek kamu paling perhatian disini jd syg deh,positif
Dheachokyu,YEAYYYSSS Alhamdulillah ada yg balikin dong dompetnya makasih mas gojek semoga sehat selalu dan lancar rezekinya dan selalu dilindungin Allah terimakasih orang baik ❤❤,positif
EllaZefa,@detikcom Wah bagus nih jadi aku Dan customer merasa Aman dan lebih nyaman menggunakan jasanya.  Makasih ya jek gojek 🤭,positif
weedstern,payah banget nih admin gojek slowresp mana udah dimention berkali2 ga direspon. salut sama admin grab sih sekali dimention pasti dibales.,negatif
valenfinotuju,@grabXgojek iya makasih ceo grab x gojek,positif
ArifudinNur71,"@GrabID Berterimakasihlah kepada Grab dan Gojek, karna masih sangat setia melayani kebutuhanmu, dimanapun dan kapanpun anda menbutuhkan bantuannya dia akan datang tepat pada waktunya, salam Grab sehat selalu...",positif
Dreamy091_,"@dapurmujib Aku nek nduwe yang montore nek gak shogun, supra x, supra astrea, vega. Gak tau sing sing 😂

Tapi luwih setia Mas Gojek sih 😌",positif
maafyasyg,Sumpah baru kali ini nemu abang gojek wangi bgt njirr kyk kerja kantoran.,positif
tuupiituup,"Hari ini lengkap sudah, mulai dari diapeli mas-mas paket, abang gojek sama abang grab, terima kasih yaa ✨",positif
tisyapm,"Lg pontang panting pgn extend day off tp gamau sabbatical, minggu ini dibolehin ngerjain task yang technical doang, trs senin-selasa kantor libur. Lagi-lagi terima kasih Allah dan Gojek 💖✨🌻",positif
masmassimpel,@bertanyarl Enak gojek sih,positif
sfratuf,@bertanyarl Gojek,netral
DE0NIXC,@bertanyarl gojek,netral
jeonnsjk,"@bertanyarl blm pernah pake grab si, udh terlanjur nyaman sm gojek wkwk",positif
yourboyghe,"@bertanyarl Gojek, UI nya enak",positif
priciouis,@bertanyarl Gojek murah,positif
nyyyyyyyyyyys,@bertanyarl tim gojek💗 gojek emg ter thebest si,positif
zhyslova,gojek baik bangett https://t.co/saRfa5r0Zc,positif
sweetyjooniee,"seneng banget hari ini ketemu orang pada happy vibe semua, mulai kasir alfa yg bilang hati2 + ""have a nice day mbak"", bapak gojek ramah, ibu2 baik pas td antri vaksin. Meskipun dah capek jam 5 berangkat ke polres trus dapet vaksin nya jumat tgl 23, seengganya gk bad mood lah ya😁",positif
bancelas,"@gojekindonesia Tetap dirumah aja min, keluar kalau hanya ada kebutuhan mendesak seperti beli kebutuhan pokok.. Galupa selalu menggunakan masker dan jaga jarak pastinya. Ohya Salut banget buat gojek, kemaren naik gojek drivernya nyediain hand sanitizer, salut!! #ProteksiEkstra",positif
abdullatief_20,@JK_Daulay Salut banget ane ame driver gojek eni👍,positif
onillecram_idoj,Ongkir gojek jadi mahal banget anjir :(,negatif
whaTdoucares,"tadi lagi dijalan buat beli makanan, terus di motor tiba"" mikir, merenung kayak udah setahun lebih kita ngadepin pandemi ini dan kalo dipikir"" dengan baik yang nolong kita tuh bapak/ibu gojek bukan pemerintah, pemerintah cuma ngebuat peraturan terus nyuruh kita buat patuh.",positif
twinklelilstawr,@orenjixnimong Bastian gojek😣,netral
rurizaaaa,Kenapa gojek skrg susah bgt ya hadeh,negatif
coklaatkejuu,"kemarin waktu di jogja, pesen makan lewat gojek dan terharuu karna driver nya baik baikk bgtttt🥺🤩",positif
tiaradpny,"alhamdulillah gopay udah direfund sama gojek dan halodoc. yaudahlah ya obatnya raib tah kemana, human error juga sih. gangerti juga bapak gojeknya ngapa begitu. mudah2an kedepannya lebih baik lagi 🌼",negatif
flippingvalve,"Ini yang gak ada di negara lain, sifat gotong royong tolong menolong.

Salutlah ya sama abang gocarnya. 
@DianaAurora96 @b_yoem @CanWidodo 

https://t.co/HI4gVRHSq9",positif
gemasamsara69,Customer gojek emng terbaik. Dikasih masker sma tas buat belanjaan buat ngebantu bapak kerja katanya. 🥰 https://t.co/SUPYzqWto0,positif
aewin86,"@MamiaAja Karena sudah ada surat Tilang, argumen bisa disampaikan saat sidang. 

Memang tdk ada kewajiban taro kursi di atas meja. Ke depan (untuk yang lain juga) ada baiknya di kursi yang diperuntukan untuk menunggu gojek/kastemer take away bisa ditulis 

""khusus utk pelanggan take away""",netral
hiimyourcat,@gojekindonesia min di gojek bisa pesen makanan kucing ga ya?,netral
budhiasty,@inganggita Gojek babi panggang ah ntar sore,netral
marissaputri,"Apa faedahnya membandingkan persentase tingkat vaksinasi antara Ibukota dan nasional? Udah jelas lebih tinggi lah lu akses naik angkot, gojek, mobil, transjakarta gampang, distribusi vaksin juga lebih gampang 🤣 https://t.co/nEErdeRr3A",netral
ZRiuswrn,"Tadi pagi naik gojek trus dia nanya masih kuliah atau gimana, trus gue bilang ""saya perawat pak"", trus bapaknya langsung kaget gitu bilang ""wuihh, semangat ya!"" Aaaa terharu :""(",positif
daisyminusoneee,Gua masih marah kenapa gojek ga bisa sampe sini?!,negatif
leemnhyng,@preciousJH17 Serem banget plis kalo gojek sampe salah pencet soalnya kalo udh di konfirmasi sama tokonya ga bisa di cancel,netral
danhadzami,"@akunbaiknih Gojek. Menurut gue, tanpa iklan pun orang udah pasti pake gojek. Indomie dan pertamina bisa juga.",positif
addictedooo,"tadi naik gojek, bapaknya baik banget.... ngajak becanda mulu haha terus jd keinget papa😓",positif
dewiblablabla,"Hari ini 2x pesan gojek di Bojonegoro, bisa2nya driver yg sama.
Tuhan baik sih, jd ga usah susah2 jelasin lagi 😅 #thesmallestthings",positif
omatbellamy,@banggaber Alhamdulillah langganan gojek saya tadi bilang habis swab udah negatif dan udah sembuh dari covid. Alhamdulillah bisa anter lagi langganan kerja dan bisa kebagian rezeki lagi karna orderan sepi. Alhamdulillah Allah Maha Baik,positif
kimforeverr,@Kang_Cutloss Grupnya gojek si terbaik. Belum jg IPO dah kasi cuan luber. Mana ampe harganya ga bisa ketebak ampe kw berapa wkwkw,positif
haszniagustina,"Abis ngeliat video yg d share muti di story wa. Merinding bgt dan iri sama mbak2nya baik bgt sama abang gojek😭 selain itu abang gojeknya pas di tanya mau apa, malah nanya “kalau buat anak apa ya mba” HUAAAA nangeees😭 l",positif
xyeorobun,"Tiap hari ada aja yg nyantelin makanan dinpagar 🙏😭
Barusan di wa bapak gojek lagi.

Bahkan skrg buat makan tiap hari dimasakin sama ibu"" dawis 🙏 Alhamdulillah warga sini baik baik. Tau aja yg isoman blm kuat kalo harus masak sendiri. https://t.co/Gmvhstoa1I",positif
bukanliaitzyy,@ubdkho Masa2 gojek membakar uang🤣 kangen weh aku juga banyak vocer duluu,netral
ayasehh,"wkwkwk sebel banget ma gojek orang jawa tuh selalu nanya patokannya pake mata angin wkwk kagak pahimm kitee :""""))",netral
nanaduakali,@zweitsonic Vq lagi pusing kaga dapet-dapet gojek,negatif
RismaAg6,"@gojekindonesia Min ini kenapa gopay saya dibekukan dan di blokir tanpa ada konfirmasi masalahnya kepada saya, saya minta ke profesional nya kepada pihak gojek untuk kembali mengaktifkan gopay saya https://t.co/1nKVbIbz9U",negatif
Kristoff_id,"@gogogojyu bapak gojek, orderan gw dari pagi di cancel sama banyak driver.",negatif
tarotdadnate,"@gojekindonesia halo, gojek cash out bermasalah nih dari kemarin pending. kembalikan saldo gopay saya. https://t.co/AiVCIdJAll",negatif
NcuhiRiwo,"ini banyak terjadi, dan memang rawan bermasalah. makanya sejak ada order makanan via gojek atau grab saya sekeluarga ragu dan gapernah, karna takut hal2 kayak gini. Kecuali makanan dari restoran yg sudah kami tau alamat dan menunya hal, higen dan baik. https://t.co/QKSocMDpiU",negatif
atta_kailana,gojek lagi baik ngasi diskonnya https://t.co/cyKxxJJYx9,positif
bukangeisah,@firdaaafaa mahal gojek,negatif
yanskii25,"PPKM nyebelin banget, temen ai kan jadi WFH gojek juga jadi mahal bener",negatif
emmarchive_,"gojek gamau ada di wonosobo nih? aplikasi sebelah pelit diskon, ongkir mahal, sistemnya jg ga banget",negatif
siramanrohaniy,@piyiolet Gaada STPR nya kan kerumah wkwkwk hh nau naik gojek jg mahal trs gabisa lewat jalan protokol kan harus jalan tikus,negatif
HYJ4E,"@cutieesun Pen gue samper, ongkos gojek mahal",negatif
BasicPewds,gojek knp mahal si🥲 sy laper tp nda mau keluar hiks,negatif
lailyy_,"Pulang malam, naik gojek
Bapak gojek menawarkan untuk aku cari makan sekalian
Aku iyain tp pilih tempat agak rame dan dibungkus
Ah ternyata bapaknya emang baik
Malah dikira aku makan di tempat :""
Dilebihin tidak mau, beliau ikhlas. Malah kasihan sm aku soalnya capek, laper 😭 https://t.co/0yWghbNnRw",positif
witha_vee,Ini gua yang semakin miskin apa emang gojek jadi makin mahal ya?,negatif
anggunan,"Bicara soal ojol emg gjk/grab ada +/-nya. Sampai skrg w condong ke gojek, loyalty programnya (go glub) gila2an vouchernya dan kerasa bgt stlh naik ke status juragan ga ada busy hour fee 😊",positif
blvckarchee,@shiikaaas Gojek udah gk asik skrng gak banyak promonya hahaha,negatif
shiikaaas,Parah sih promo gojek ada di weekend doangg,negatif
ditaajeng96,"Kadang make gofood, gomed, gosend itu bukan karena males tapi pengen bantuin mas mas gojek juga
Semoga segala sesuatu berangsur membaik ya ❤️",positif
gerledek,Terima kasih gojek~ https://t.co/GPrdItWrpI,positif
adunkz,"@NetflixID min, saya kok ga bisa update payment yah? di gojek ama di Netflix udah saya ganti nomernya tapi di Netflix saya ga bisa edit gopay saya :(
trs di aplikasi @gojekindonesia kok ga ada kolom pembayaran Netflix? https://t.co/dnIJOv4G1G",negatif
PacarnyaAsensio,"Kasian cowo gue, kerjaannya ditutup 2 minggu grgr ppkm🥺 terus gak digaji juga🥺 dan besok mau coba gojek lagi buat cari pemasukan. Semangat!!!",positif
jefryna,"@gojekindonesia waduh kecewa banget nih sama gojek indonesia, masa beli gofood makanannya kurang mana udah bayar pakai gopay lagi, bisa refund ga ya pesenan yang ga dateng?",negatif
modebodoamat,"@dsuperboy Pas naik gojek ga bawa helm trus janjian sama temen mau ke bandung kota, karna ga bawa helm pas nanti janjiannya, jadi we dipinjemin helm sama mang gojeknya, sosweet banget",positif
kingqhades,"resiko tinggal di kota kecil ya mall cuma 2 itupun satu lagi mau bangkrut. dibandingkan sama mall di luar, lebih kumuh dan jelek. variasi grabfood dikit bngt, belum ada gojek, mahal jg ongkir nya sialan.",negatif
LenyApa,"@dsuperboy Buru2 mau bimbingan skripsi, gojek udah di depan rumah, saking gugupnya langsung jalan aja, udh setengah jalan baru ngeh, skripsinya ketinggalan dong, balik lagi akhirnya, pas bayar mau dikasih dobel gamau, katanya sesuai tarif ajaa, merasa bersalah bangettt😭, tp makasih pak!",positif
txtdarimbul,"@bdngfess masih kan PPKM sampai tgl 20 kakak...  Tukang gojek punya jalan alternatif kok, asal patuhi prokes yaaa masuk Kota Bandung nya.",positif
